Clave|Revista|Color|Tipo de licencia|Acceso|Autoarchivo|Versiones de autoarchivo
42|Colombia Médica|Azul|Atribución - CC BY|Gratuito|Sí|Desconocido
43|Retos: Revista de Ciencias de la Administración y Economía|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión editorial)
44|marcoELE, REVISTA DE DIDÁCTICA ELE|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión editorial)
45|PASOS Revista de Turismo y Patrimonio Cultural|Azul|Atribución-Sin Derivadas - CC BY-ND|Gratuito|Sí|Post-print (versión editorial)
46|Revista Científica Compendium|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión corregida del autor)
47|RICYDE. Revista Internacional de Ciencias del Deporte|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
48|Revista Eureka sobre Enseñanza y Divulgación de las Ciencias|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|versión publicada
49|Revista Venezolana de Oncología|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Desconocido
50|Ideas y Valores - Revista Colombiana de Filosofía|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito online - suscripción versión impresa|Sí|Desconocido
51|Acta Biológica Colombiana|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial), Post-print (versión corregida del autor)
52|Revista de Osteoporosis y Metabolismo Mineral|Blanca|Ninguna|Gratuito|No|Desconocido
53|REMHU - Revista Interdisciplinar da Mobilidade Humana |Azul|Atribución - CC BY|Gratuito|Sí|Desconocido
54|Revista de Estudios Sociales|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito online - suscripción versión impresa|Sí|Desconocido
55|REICE. Revista Iberoamericana sobre Calidad, Eficacia y Cambio en Educación |Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión editorial)
56|Revista de Economía Institucional|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión editorial)
57|LiminaR. Estudios Sociales y Humanísticos|Azul|Atribución-Sin Derivadas - CC BY-ND|Gratuito|Sí|Desconocido
58|Investigación y Educación en Enfermería|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Desconocido
59|RIDE REVISTA IBEROAMERICANA PARA LA INVESTIGACIÓN Y EL DESARROLLO EDUCATIVO|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Desconocido
60|apunts. Educación Física y Deportes|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión corregida del autor)
61|Profile: Issues in Teachers' Professional Development|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Desconocido
62|Espiral Estudios sobre Estado y sociedad|Blanca|Ninguna|Gratuito|No|Desconocido
63|Cuadernos de Antropología Social|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|versión final publicada
64|Latinoamérica.Revista de estudios latinoamericanos|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Desconocido
65|Revista Pilquen Sección Ciencias Sociales|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Desconocido
66|História: Debates e Tendências|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión editorial)
68|Innovar|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión editorial)
69|Atmósfera|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
70|REvista de la Sociedad Entomológica Argentina|Azul|Atribución - CC BY|Gratuito|Sí|Desconocido
71|Revista de Psicología|Azul|Atribución - CC BY|Gratuito online - suscripción versión impresa|Sí|Desconocido
72|Journal of Pharmacy & Pharmacognosy Research|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión corregida del autor)
73|Papeles del Psicólogo / Psychologist Papers|Blanca|Ninguna|Gratuito|No|Desconocido
74|Aposta. Revista de Ciencias Sociales|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión editorial)
75|Duazary|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Desconocido
76|terra. Nueva Etapa|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión editorial)
77|Revista Brasileira de Sociologia do Direito|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión corregida del autor)
78|Tabula Rasa|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Desconocido
79|Revista Venezolana de Oncología|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Desconocido
80|VIRTUAL BRAZILIAN ANTHROPOLOGY|Azul|Atribución - CC BY|Gratuito|Sí|Desconocido
81|Revista Brasileira de Estudos da Presença|Azul|Atribución - CC BY|Gratuito|Sí|Desconocido
82|Revista Tecnura|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Desconocido
83|REVISTA PEDIATRÍA ATENCIÓN PRIMARIA|Blanca|Ninguna|Gratuito|No|Desconocido
84|@tic revista d'innovació educativa|Azul|Atribución-Sin Derivadas - CC BY-ND|Gratuito|Sí|Desconocido
85|Revista de Derecho Privado|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión editorial)
86|Organizações & Sociedade|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
87|ReCIBE, revista electrónica de Computación, Informática, Biómedica y Electrónic|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Desconocido
88|Odontoestomatología|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
89|Revista de Estudios de Género, La Ventana|Blanca|Ninguna|Gratuito|No|Desconocido
90|Estudios de Cultura Maya|Azul|Atribución-No Comercial - CC BY-NC|Gratuito online - suscripción versión impresa|Sí|Desconocido
91|OPERA|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión editorial)
92|Estudos Ibero-Americanos|Azul|Atribución - CC BY|Gratuito|Sí|Desconocido
93|Estudios Sociales. Revista de Alimentación Contemporánea y Desarrollo Regional|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión corregida del autor)
94|UNED Research Journal / Cuadernos de Investigación UNED|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión corregida del autor)
95|Revista Historia Caribe|Azul|Atribución-No Comercial - CC BY-NC|Gratuito online - suscripción versión impresa|Sí|Desconocido
96|Cuadernos de Bioética|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Desconocido
97|Revista Gestão Universitária na América Latina|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Desconocido
98|Anagramas, rumbos y sentidos de la comunicación|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión corregida del autor)
99|Revista Derecho del Estado|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión editorial)
100|Intersticios Sociales|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Desconocido
101|Cuadernos Latinoamericanos de Administración|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Desconocido
102|Quivera Revista de Estudios Territoriales|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Desconocido
103|Revista Ingenius|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión corregida del autor)
104|Sophia: Colección de Filosofía de la Educación|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión editorial)
105|REVISTA CAATINGA|Azul|Atribución - CC BY|Gratuito|Sí|Desconocido
106|Revista Mexicana de Economía y Finanzas Nueva Época REMEF (The Mexican Journal of Economics and Finance)|Azul|Atribución-No Comercial - CC BY-NC|Gratuito online - suscripción versión impresa|Sí|Desconocido
107|Revista Administração em Diálogo|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión corregida del autor)
108|Colombia Internacional|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Desconocido
109|HISTORIA CRÍTICA|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito online - suscripción versión impresa|Sí|Desconocido
110|Apertura|Verde|Ninguna|Gratuito|Sí|Pre-print (versión sin evaluar ), Post-print (versión editorial), Post-print (versión corregida del autor)
111|Espacios en Blanco-Revista de Educación|Azul|Atribución - CC BY|Gratuito|Sí|Desconocido
112|ANDEAN GEOLOGY|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Desconocido
113|Revista Latinoamericana de Investigación en Matemática Educativa|Azul|Atribución-No Comercial - CC BY-NC|Gratuito online - suscripción versión impresa|Sí|Post-print (versión corregida del autor)
114|Revista Iberoamericana de Estudios Municipales|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Desconocido
116|Pensar en Movimiento: Revista de Ciencias del Ejercicio y la Salud|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Desconocido
117|Lecturas de Economía|Azul|Atribución-Compartir Igual - CC BY-SA|Gratuito|Sí|Desconocido
118|Administração: Ensino e Pesquisa|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión corregida del autor)
119|Ingeniería|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Desconocido
120|Aldea Mundo. Revista sobre Fronteras e Integración|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Desconocido
121|Revista O Social em Questão|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
122|Perífrasis. Revista de Literatura, Teoría y Crítica|Azul|Atribución - CC BY|Gratuito|Sí|Desconocido
123|Biota Colombiana|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión corregida del autor)
124|Sincronía|Blanca|Ninguna|Gratuito|No|Desconocido
125|Cuadernos de Administración|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión corregida del autor)
126|Mundo agrario|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión editorial)
127|Relaciones Estudios de Historia y Sociedad|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
128|Revista Iberoamericana de Tecnología Postcosecha|Blanca|Ninguna|Gratuito|No|Desconocido
129|La Granja, Revista de Ciencias de la Vida|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Desconocido
130|Convergencia Revista de Ciencias Sociales|Azul|Atribución-Sin Derivadas - CC BY-ND|Gratuito|Sí|Desconocido
131|Científica|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Desconocido
132|Revista Latinoamericana de Estudios Educativos|Azul|Atribución - CC BY|Gratuito|Sí|Desconocido
133|Economía teoría y práctica|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Desconocido
134|International Journal of Psychological Research|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Desconocido
135|Estudios Fronterizos|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
136|Memorias. Revista digital de Historia y Arqueología desde el Caribe colombiano|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión corregida del autor)
137|CIENCIA ergo-sum|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión editorial)
139|Revista Colombiana de Gastroenterología|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Desconocido
140|Pharmacy Practice|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión editorial)
141|Tla-meaua, Revista de Ciencias Sociales |Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Desconocido
142|Revista Estudios Socio-Jurídicos|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
143|Hallazgos|Azul|Atribución-Compartir Igual - CC BY-SA|Gratuito|Sí|Desconocido
144|Análisis. Revista Colombiana de Humanidades|Azul|Atribución-Compartir Igual - CC BY-SA|Gratuito|Sí|Desconocido
145|Dyna|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Desconocido
146|CIRUGIA PLASTICA IBERO-LATINOAMERICANA|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito online - suscripción versión impresa|Sí|Desconocido
147|ACDI - Anuario Colombiano de Derecho Internacional|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
148|Boletín de Ciencias de la Tierra|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Desconocido
149|Ciencias Psicológicas|Azul|Atribución - CC BY|Gratuito|Sí|Desconocido
150|Boletim de Ciências Geodésicas|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Desconocido
151|Revista Geográfica de América Central|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Desconocido
152|Revista Historia de la Educación Latinaomericana|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión editorial), Post-print (versión corregida del autor)
153|Revista de la Universidad Industrial de Santander. Salud|Azul|Atribución - CC BY|Gratuito|Sí|Desconocido
154|Revista Interamericana de Bibliotecología|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito online - suscripción versión impresa|Sí|Post-print (versión editorial)
155|Diversitas: perspectivas en psicología|Azul|Atribución-Compartir Igual - CC BY-SA|Gratuito|Sí|Desconocido
156|EduSol|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión editorial), Post-print (versión corregida del autor)
157|Revista Chilena de Literatura|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito online - suscripción versión impresa|Sí|Desconocido
158|Acta Scientiarum Education|Azul|Atribución - CC BY|Gratuito|Sí|Desconocido
159|Revista Ingenierías Universidad de Medellín|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Desconocido
160|Revista Prâksis|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión corregida del autor)
161|Revista Colombiana de Bioética|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Desconocido
162|CS|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Desconocido
163|Espacios Públicos|Blanca|Ninguna|Hibrido|No|Desconocido
164|Revista de Ciencias Sociales|Blanca|Ninguna|Gratuito|No|Desconocido
166|Revista Colombiana de Química|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión corregida del autor)
167|Iatreia|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión corregida del autor)
168|Revista nuestrAmérica|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión editorial)
169|Revista Interamericana de Psicologia/Interamerican Journal of Psychology|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión editorial)
170|Sophia|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Desconocido
171|Contabilidad y Negocios|Azul|Atribución - CC BY|Gratuito|Sí|Desconocido
172|Revista Colombiana de Ciencias Sociales|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Desconocido
173|Revista Clínica de Periodoncia, Implantología y Rehabilitación Oral|Blanca|Ninguna|Gratuito|No|Desconocido
174|Revista humanidades|Azul|Ninguna|Gratuito|Sí|Post-print (versión editorial), Post-print (versión corregida del autor)
175|Revista Colombiana de Obstetricia y Ginecología|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Desconocido
176|International Journal of Developmental and Educational Psychology (Revista INFAD de Psicología)|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Desconocido
177|Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión corregida del autor)
179|Desenvolvimento em Questão|Azul|Atribución - CC BY|Gratuito|Sí|Pre-print (versión sin evaluar ), Post-print (versión editorial), Post-print (versión corregida del autor)
180|Procesos Históricos.Revista de Historia y Ciencias Sociales|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Desconocido
181|Geosaberes: revista de Estudos Geoeducacionais|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
182|Revista Latinoamericana de Estudios sobre Cuerpos, Emociones y Sociedad|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Desconocido
184|EUROPEAN JOURNAL OF EDUCATION AND PSYCHOLOGY|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Desconocido
185|Psicothema|Blanca|Ninguna|Gratuito|No|Desconocido
186|Archivos de Medicina (Col)|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Versión publicada
187|Revista Colombiana de Biotecnología|Azul|Atribución - CC BY|Gratuito|Sí|Desconocido
188|Papeles de Población|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Desconocido
189|Perfiles Latinoamericanos|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión corregida del autor)
190|Production|Azul|Atribución - CC BY|Gratuito|Sí|Desconocido
191|Redes|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión corregida del autor)
192|Trends in Psychology/Temas em Psicologia|Azul|Atribución - CC BY|Gratuito|Sí|Desconocido
193|El oído pensante|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Desconocido
194|Revista Bitácora Urbano Territorial |Azul|Atribución - CC BY|Gratuito|Sí|Desconocido
195|Anthropologica del Departamento de Ciencias Sociales|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Desconocido
196|Praxis & Saber|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Desconocido
197|Revista Venezolana de Endocrinología y Metabolismo|Blanca|Ninguna|Gratuito|No|Desconocido
198|Revista Ciencias de la Salud|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Desconocido
199|Revista Electrónica Educare|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión editorial)
200|Historia Y MEMORIA|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Desconocido
201|Revista de Bioética y Derecho|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Desconocido
202|Revista Avances en Psicología Latinoamericana|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
203|Varia Historia|Azul|Atribución - CC BY|Gratuito|Sí|Desconocido
204|Avances en Química|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito online - suscripción versión impresa|Sí|Desconocido
205|Ingeniería y Competitividad|Azul|Atribución - CC BY|Gratuito|Sí|Desconocido
206|Revista de Investigación Agraria y Ambiental|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión editorial), Post-print (versión corregida del autor)
207|Salud Colectiva|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
208|Quiroga. Revista de patrimonio Iberoamericano|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Desconocido
209|Ciencia y Agricultura|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión editorial)
210|Revista Scientific|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión editorial)
211|Ibérica. Revista de la Asociación Europea de Lenguas para Fines Específicos.|Blanca|Ninguna|Gratuito online - suscripción versión impresa|No|Desconocido
212|Di@logus|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión editorial)
213|Revista Geológica de América Central|Azul|Atribución-Compartir Igual - CC BY-SA|Gratuito|Sí|Desconocido
214|Revista Jurídica Direito & Paz|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión corregida del autor)
215|Revista Alcance|Blanca|Ninguna|Gratuito|No|Desconocido
216|Castilla. Estudios de Literatura|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
217|Cadernos de Pós-graduação|Azul|Ninguna|Gratuito|Sí|Post-print (versión editorial), Post-print (versión corregida del autor)
218|Oculum Ensaios|Azul|Atribución - CC BY|Gratuito|Sí|Desconocido
219|Direito e Justiça: Reflexões Sociojurídicas|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión corregida del autor)
220|Direitos Culturais|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Desconocido
221|Ciencias Administrativas|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí| Version corregida del autor y adaptada teniendo en cuenta las normas de la revista Ciencias Administrativas
222|GESTO: Revista de Gestão Estratégica de Organizações|Azul|Atribución-Compartir Igual - CC BY-SA|Gratuito|Sí|Desconocido
