Clave|Revista|Color|Tipo de licencia|Acceso|Autoarchivo|Versiones de autoarchivo
42|Colombia Médica|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión editorial)
43|Retos: Revista de Ciencias de la Administración y Economía|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión editorial)
44|marcoELE, REVISTA DE DIDÁCTICA ELE|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión editorial)
45|PASOS Revista de Turismo y Patrimonio Cultural|Azul|Atribución-Sin Derivadas - CC BY-ND|Gratuito|Sí|Post-print (versión editorial)
46|Revista Científica Compendium|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión editorial)
47|RICYDE. Revista Internacional de Ciencias del Deporte|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
48|Revista Eureka sobre Enseñanza y Divulgación de las Ciencias|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión editorial)
49|Revista Venezolana de Oncología|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión editorial)
50|Ideas y Valores - Revista Colombiana de Filosofía|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito online - suscripción versión impresa|Sí|Post-print (versión editorial)
51|Acta Biológica Colombiana|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
52|Revista de Osteoporosis y Metabolismo Mineral|Blanca|Ninguna|Gratuito|No|Desconocido
53|REMHU - Revista Interdisciplinar da Mobilidade Humana|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión editorial)
54|Revista de Estudios Sociales|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito online - suscripción versión impresa|Sí|Post-print (versión editorial)
56|Revista de Economía Institucional|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión editorial)
57|LiminaR. Estudios Sociales y Humanísticos|Azul|Atribución-Sin Derivadas - CC BY-ND|Gratuito|Sí|Post-print (versión editorial)
58|Investigación y Educación en Enfermería|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión editorial)
59|RIDE REVISTA IBEROAMERICANA PARA LA INVESTIGACIÓN Y EL DESARROLLO EDUCATIVO|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión editorial)
60|apunts. Educación Física y Deportes|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión editorial)
61|Profile: Issues in Teachers' Professional Development|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión editorial)
62|Espiral Estudios sobre Estado y sociedad|Azul|Ninguna|Gratuito|Sí|Post-print (versión editorial)
63|Cuadernos de Antropología Social|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión editorial)
64|Latinoamérica.Revista de estudios latinoamericanos|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
65|Revista Pilquen Sección Ciencias Sociales|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión editorial)
66|História: Debates e Tendências|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión editorial)
68|Innovar|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión editorial)
69|Atmósfera|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
70|REvista de la Sociedad Entomológica Argentina|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión editorial)
71|Revista de Psicología|Azul|Atribución - CC BY|Gratuito online - suscripción versión impresa|Sí|Post-print (versión editorial)
72|Journal of Pharmacy & Pharmacognosy Research|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión editorial)
73|Papeles del Psicólogo / Psychologist Papers|Blanca|Ninguna|Gratuito|No|Desconocido
74|Aposta. Revista de Ciencias Sociales|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión editorial)
75|Duazary|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión editorial)
76|Terra. Nueva Etapa|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión editorial)
77|Revista Brasileira de Sociologia do Direito|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión editorial)
78|Tabula Rasa|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión editorial)
80|VIRTUAL BRAZILIAN ANTHROPOLOGY|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión editorial)
81|Revista Brasileira de Estudos da Presença|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión editorial)
82|Revista Tecnura|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión editorial)
83|REVISTA PEDIATRÍA ATENCIÓN PRIMARIA|Blanca|Ninguna|Gratuito|No|Desconocido
84|@tic revista d'innovació educativa|Azul|Atribución-Sin Derivadas - CC BY-ND|Gratuito|Sí|Post-print (versión editorial)
85|Revista de Derecho Privado|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión editorial)
86|Organizações & Sociedade|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
87|ReCIBE, revista electrónica de Computación, Informática, Biómedica y Electrónic|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión editorial)
88|Odontoestomatología|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
89|Revista de Estudios de Género, La Ventana|Blanca|Ninguna|Gratuito|No|Desconocido
90|Estudios de Cultura Maya|Azul|Atribución-No Comercial - CC BY-NC|Gratuito online - suscripción versión impresa|Sí|Post-print (versión editorial)
91|OPERA|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión editorial)
92|Estudos Ibero-Americanos|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión editorial)
93|Estudios Sociales. Revista de Alimentación Contemporánea y Desarrollo Regional|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
94|UNED Research Journal / Cuadernos de Investigación UNED|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión editorial)
95|Revista Historia Caribe|Azul|Atribución-No Comercial - CC BY-NC|Gratuito online - suscripción versión impresa|Sí|Post-print (versión editorial)
96|Cuadernos de Bioética|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión editorial)
97|Revista Gestão Universitária na América Latina|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión editorial)
98|Anagramas, rumbos y sentidos de la comunicación|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
99|Revista Derecho del Estado|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión editorial)
100|Intersticios Sociales|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión editorial)
101|Cuadernos Latinoamericanos de Administración|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión editorial)
102|Quivera Revista de Estudios Territoriales|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
103|Revista Ingenius|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión editorial)
104|Sophia: Colección de Filosofía de la Educación|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión editorial)
105|REVISTA CAATINGA|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión editorial)
106|Revista Mexicana de Economía y Finanzas Nueva Época REMEF (The Mexican Journal of Economics and Finance)|Azul|Atribución-No Comercial - CC BY-NC|Gratuito online - suscripción versión impresa|Sí|Post-print (versión editorial)
107|Revista Administração em Diálogo|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión editorial)
108|Colombia Internacional|Blanca|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|No|Desconocido
109|HISTORIA CRÍTICA|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito online - suscripción versión impresa|Sí|Post-print (versión editorial)
110|Apertura|Verde|Ninguna|Gratuito|Sí|Pre-print (versión sin evaluar ), Post-print (versión editorial)
111|Espacios en Blanco-Revista de Educación|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión editorial)
112|ANDEAN GEOLOGY|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
113|Revista Latinoamericana de Investigación en Matemática Educativa|Azul|Atribución-No Comercial - CC BY-NC|Gratuito online - suscripción versión impresa|Sí|Post-print (versión editorial)
114|Revista Iberoamericana de Estudios Municipales|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
116|Pensar en Movimiento: Revista de Ciencias del Ejercicio y la Salud|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión editorial)
117|Lecturas de Economía|Azul|Atribución-Compartir Igual - CC BY-SA|Gratuito|Sí|Post-print (versión editorial)
118|Administração: Ensino e Pesquisa|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión editorial)
119|Ingeniería|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión editorial)
120|Aldea Mundo. Revista sobre Fronteras e Integración|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión editorial)
121|Revista O Social em Questão|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
122|Perífrasis. Revista de Literatura, Teoría y Crítica|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión editorial)
123|Biota Colombiana|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión editorial)
124|Sincronía|Blanca|Ninguna|Gratuito|No|Desconocido
125|Cuadernos de Administración|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
126|Mundo agrario|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión editorial)
127|Relaciones Estudios de Historia y Sociedad|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
128|Revista Iberoamericana de Tecnología Postcosecha|Blanca|Ninguna|Gratuito|No|Desconocido
129|La Granja, Revista de Ciencias de la Vida|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión editorial)
130|Convergencia Revista de Ciencias Sociales|Azul|Atribución-Sin Derivadas - CC BY-ND|Gratuito|Sí|Post-print (versión editorial)
131|Científica|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
132|Revista Latinoamericana de Estudios Educativos|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión editorial)
133|Economía teoría y práctica|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
134|International Journal of Psychological Research|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión editorial)
135|Estudios Fronterizos|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
136|Memorias. Revista digital de Historia y Arqueología desde el Caribe colombiano|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión editorial)
137|CIENCIA ergo-sum|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión editorial)
139|Revista Colombiana de Gastroenterología|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión editorial)
140|Pharmacy Practice|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión editorial)
141|Tla-meaua, Revista de Ciencias Sociales|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión editorial)
142|Revista Estudios Socio-Jurídicos|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
143|Hallazgos|Azul|Atribución-Compartir Igual - CC BY-SA|Gratuito|Sí|Post-print (versión editorial)
144|Análisis. Revista Colombiana de Humanidades|Azul|Atribución-Compartir Igual - CC BY-SA|Gratuito|Sí|Post-print (versión editorial)
145|Dyna|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión editorial)
146|CIRUGIA PLASTICA IBERO-LATINOAMERICANA|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito online - suscripción versión impresa|Sí|Post-print (versión editorial)
147|ACDI - Anuario Colombiano de Derecho Internacional|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
148|Boletín de Ciencias de la Tierra|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión editorial)
149|Ciencias Psicológicas|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión editorial)
150|Boletim de Ciências Geodésicas|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
151|Revista Geográfica de América Central|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión editorial)
152|Revista Historia de la Educación Latinaomericana|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión editorial)
153|Revista de la Universidad Industrial de Santander. Salud|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión editorial)
154|Revista Interamericana de Bibliotecología|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito online - suscripción versión impresa|Sí|Post-print (versión editorial)
155|Diversitas: perspectivas en psicología|Azul|Atribución-Compartir Igual - CC BY-SA|Gratuito|Sí|Post-print (versión editorial)
156|EduSol|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión editorial)
157|Revista Chilena de Literatura|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito online - suscripción versión impresa|Sí|Post-print (versión editorial)
158|Acta Scientiarum Education|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión editorial)
159|Revista Ingenierías Universidad de Medellín|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
160|Revista Prâksis|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión editorial)
161|Revista Colombiana de Bioética|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
162|CS|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión editorial)
163|Espacios Públicos|Blanca|Ninguna|Hibrido|No|Desconocido
164|Revista de Ciencias Sociales|Blanca|Ninguna|Gratuito|No|Desconocido
166|Revista Colombiana de Química|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión editorial)
167|Iatreia|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión editorial)
168|Revista nuestrAmérica|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión editorial)
169|Revista Interamericana de Psicologia/Interamerican Journal of Psychology|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión editorial)
170|Sophia|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
171|Contabilidad y Negocios|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión editorial)
172|Revista Colombiana de Ciencias Sociales|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión editorial)
173|Revista Clínica de Periodoncia, Implantología y Rehabilitación Oral|Blanca|Ninguna|Gratuito|No|Desconocido
174|Revista humanidades|Azul|Ninguna|Gratuito|Sí|Post-print (versión editorial)
175|Revista Colombiana de Obstetricia y Ginecología|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión editorial)
176|International Journal of Developmental and Educational Psychology (Revista INFAD de Psicología)|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión editorial)
177|Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión editorial)
179|Desenvolvimento em Questão|Verde|Atribución - CC BY|Gratuito|Sí|Pre-print (versión sin evaluar ), Post-print (versión editorial)
180|Procesos Históricos.Revista de Historia y Ciencias Sociales|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión editorial)
181|Geosaberes: revista de Estudos Geoeducacionais|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
182|Revista Latinoamericana de Estudios sobre Cuerpos, Emociones y Sociedad|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión editorial)
184|EUROPEAN JOURNAL OF EDUCATION AND PSYCHOLOGY|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
185|Psicothema|Blanca|Ninguna|Gratuito|No|Desconocido
186|Archivos de Medicina (Col)|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión editorial)
187|Revista Colombiana de Biotecnología|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión editorial)
188|Papeles de Población|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión editorial)
189|Perfiles Latinoamericanos|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
190|Production|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión editorial)
191|Redes|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión editorial)
192|Trends in Psychology/Temas em Psicologia|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión editorial)
193|El oído pensante|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
194|Revista Bitácora Urbano Territorial|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión editorial)
195|Anthropologica del Departamento de Ciencias Sociales|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
196|Praxis & Saber|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión editorial)
197|Revista Venezolana de Endocrinología y Metabolismo|Blanca|Ninguna|Gratuito|No|Desconocido
198|Revista Ciencias de la Salud|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
199|Revista Electrónica Educare|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión editorial)
200|Historia Y MEMORIA|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
201|Revista de Bioética y Derecho|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión editorial)
202|Revista Avances en Psicología Latinoamericana|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
203|Varia Historia|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión editorial)
204|Avances en Química|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito online - suscripción versión impresa|Sí|Post-print (versión editorial)
205|Ingeniería y Competitividad|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión editorial)
206|Revista de Investigación Agraria y Ambiental|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión editorial)
207|Salud Colectiva|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
208|Quiroga. Revista de patrimonio Iberoamericano|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
209|Ciencia y Agricultura|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión editorial)
210|Revista Scientific|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión editorial)
211|Ibérica. Revista de la Asociación Europea de Lenguas para Fines Específicos.|Blanca|Ninguna|Gratuito online - suscripción versión impresa|No|Desconocido
212|Di@logus|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión editorial)
213|Revista Geológica de América Central|Azul|Atribución-Compartir Igual - CC BY-SA|Gratuito|Sí|Post-print (versión editorial)
214|Revista Jurídica Direito & Paz|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
215|Revista Alcance|Blanca|Ninguna|Gratuito|No|Desconocido
216|Castilla. Estudios de Literatura|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
217|Cadernos de Pós-graduação|Azul|Ninguna|Gratuito|Sí|Post-print (versión editorial)
218|Oculum Ensaios|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión editorial)
219|Direito e Justiça: Reflexões Sociojurídicas|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión editorial)
